MMSI,VesselName,VesselType,BaseDateTime,LAT,LON,SOG,COG
419008821,MV Konkan Pearl,Bulk Carrier,2026-09-04T03:15:00Z,17.68,83.3,11.2,48
431552290,MT Coral Voyager,Tanker,2026-09-04T02:50:00Z,17.75,83.42,9.8,205
419991002,MV Ganga Express,Container Ship,2026-09-04T04:02:00Z,17.81,83.26,14.5,120
419773310,FV Samudra Tara,Fishing Vessel,2026-09-03T20:10:00Z,17.52,83.15,5.1,300
419440015,MV Bay Trader,General Cargo,2026-09-04T05:10:00Z,17.92,83.55,12.0,90
419112233,MT Andhra Star,Tanker,2026-09-04T03:30:00Z,17.705,83.36,8.4,60
419556677,MV Sagar Kanya,Research Vessel,2026-09-04T01:00:00Z,18.1,83.8,6.5,270
419998877,MV Coastal Runner,Coastal Cargo,2026-09-04T03:50:00Z,17.74,83.33,10.1,230
419000100,MV Tapti Kanya,Bulk Carrier,2026-09-04T01:27:01Z,18.2793,81.4438,3.4,78.0
419000101,MT Chennai Horizon,Fishing Vessel,2026-09-04T18:05:20Z,17.743,81.4499,15.1,2.0
419000102,MV Ganga Kanya,Tanker,2026-09-02T18:37:33Z,18.9449,84.1364,8.4,123.0
419000103,MV Kaveri Trader,Offshore Supply Vessel,2026-09-02T15:40:59Z,16.7797,81.5176,16.3,130.0
419000104,MT Samudra Kanya,Fishing Vessel,2026-09-04T05:18:45Z,16.4908,81.622,9.8,299.0
419000105,MT Kaveri Explorer,General Cargo,2026-09-04T05:24:06Z,16.3722,82.7649,5.5,136.0
419000106,MT Coral Pride,Coastal Cargo,2026-09-04T04:16:10Z,19.6797,83.9038,9.0,24.0
419000107,SS Chennai Express,Fishing Vessel,2026-09-03T00:06:43Z,19.3741,83.6125,5.1,267.0
419000108,MT Bay Glory,Passenger Ship,2026-09-04T11:43:08Z,17.8775,84.3319,4.4,17.0
419000109,SS Deccan Horizon,Passenger Ship,2026-09-04T06:37:14Z,16.1602,83.8536,10.9,349.0
419000110,FV Samudra Trader,Research Vessel,2026-09-04T21:08:39Z,19.1647,81.3897,5.4,1.0
419000111,FV Netravati Horizon,General Cargo,2026-09-04T08:25:07Z,18.61,84.2225,5.3,274.0
419000112,SS Konkan Voyager,Coastal Cargo,2026-09-02T03:45:17Z,17.8791,84.4583,16.2,299.0
419000113,SS Ganga Pride,Tug,2026-09-04T07:28:48Z,16.9517,81.5755,14.5,46.0
419000114,MT Kaveri Pride,General Cargo,2026-09-05T15:27:12Z,17.6227,83.543,13.7,143.0
419000115,MT Ganga Star,Bulk Carrier,2026-09-04T07:41:46Z,18.4083,82.8375,11.8,83.0
419000116,FV Ganga Glory,General Cargo,2026-09-04T05:00:39Z,16.6025,81.6278,7.2,174.0
419000117,SS Orissa Tara,Tanker,2026-09-04T07:31:25Z,17.8785,84.2372,4.5,155.0
419000118,MV Deccan Explorer,Coastal Cargo,2026-09-04T05:59:26Z,17.4159,83.2119,15.0,39.0
419000119,MT Ganga Runner,Tug,2026-09-02T21:18:53Z,16.488,83.4889,4.5,234.0
419000120,MT Orissa Runner,Passenger Ship,2026-09-03T23:37:57Z,17.884,81.4028,6.2,144.0
419000121,FV Orissa Explorer,Tug,2026-09-03T05:09:34Z,15.9561,82.8597,12.9,175.0
419000122,FV Coral Pearl,Offshore Supply Vessel,2026-09-03T23:17:05Z,16.4812,82.2146,10.2,330.0
419000123,MV Coastal Kanya,Tanker,2026-09-04T03:46:41Z,17.8461,81.5713,17.1,205.0
419000124,FV Sagar Spirit,Coastal Cargo,2026-09-04T18:48:28Z,18.0373,81.5028,6.6,142.0
419000125,MV Chennai Horizon,Offshore Supply Vessel,2026-09-04T01:51:42Z,18.4084,82.5438,17.9,26.0
419000126,FV Krishna Express,Passenger Ship,2026-09-04T08:01:57Z,16.5742,82.4046,15.5,253.0
419000127,MV Bay Trader,Tanker,2026-09-02T04:27:03Z,18.1683,85.2927,16.3,267.0
419000128,SS Bengal Wave,Bulk Carrier,2026-09-03T12:36:59Z,16.3434,82.4708,4.4,152.0
419000129,MT Chennai Glory,Research Vessel,2026-09-04T16:51:46Z,16.8283,81.358,11.4,40.0
419000130,MT Orissa Express,Bulk Carrier,2026-09-02T07:09:31Z,19.5018,84.1079,7.6,323.0
419000131,MV Vizag Pride,Tug,2026-09-04T07:41:21Z,18.9061,84.7866,16.3,146.0
419000132,SS Konkan Express,Coastal Cargo,2026-09-04T07:59:55Z,18.2042,81.962,14.7,148.0
419000133,SS Coral Wave,Passenger Ship,2026-09-04T01:10:54Z,18.4012,84.284,6.3,293.0
419000134,MT Deccan Star,Fishing Vessel,2026-09-04T06:39:12Z,17.5628,82.5646,16.0,347.0
419000135,MV Samudra Trader,Container Ship,2026-09-06T01:53:25Z,16.8381,83.9097,11.7,353.0
419000136,MV Deccan Horizon,General Cargo,2026-09-05T07:11:49Z,15.8746,83.7301,6.8,254.0
419000137,FV Orissa Voyager,Coastal Cargo,2026-09-04T04:05:04Z,15.7284,85.0461,12.3,238.0
419000138,SS Krishna Glory,Container Ship,2026-09-04T19:43:18Z,16.2201,84.944,5.9,239.0
419000139,MV Krishna Trader,General Cargo,2026-09-04T10:20:02Z,17.2382,84.3363,9.4,208.0
419000140,MT Ganga Trader,Tug,2026-09-03T00:12:55Z,18.3404,83.2038,13.0,222.0
419000141,MT Konkan Pearl,General Cargo,2026-09-04T01:02:55Z,16.0951,85.1518,17.8,219.0
